chr	start	end	strand	shifting_score	shift_in_bp	dominant_peak_maternal	dominant_peak_zygotic	ensembl_gene_id	gene_start	gene_end	tss	entrezgene	external_gene_id	gene_biotype
chr1	89637	89654	+	0.823815908	14	89640	89654	NA	NA	NA	NA	NA	NA	NA
chr1	388651	388827	+	0.697123379	-12	388710	388698	ENSDARG00000058962	388683	392773	388683	641329	TXNL4B	protein_coding
chr1	407452	407562	+	0.625093435	19	407494	407513	ENSDARG00000041570	407504	466028	407504	334588	mrpl39	protein_coding
chr1	15342493	15342644	+	0.733601957	58	15342547	15342605	NA	NA	NA	NA	NA	NA	NA
chr1	15363196	15363253	+	0.803078448	-24	15363242	15363218	ENSDARG00000062198	15363240	15396056	15363240	NA	pcm1	protein_coding
chr1	24075532	24075698	+	0.640960804	69	24075602	24075671	ENSDARG00000079434	24075572	24173549	24075572	565444	si:ch211-208h7.4	protein_coding
chr1	25571074	25571302	+	0.750369247	199	25571098	25571297	ENSDARG00000005210	25571327	25620378	25571327	323538	coro2a	protein_coding
chr1	28114600	28114672	+	0.785008798	-44	28114645	28114601	ENSDARG00000078546	28114604	28133331	28114604	555187	cars2	protein_coding
chr1	28743315	28743645	+	0.626222248	26	28743357	28743383	ENSDARG00000003866	28743380	28769615	28743380	334370	tm9sf2	protein_coding
chr1	31128133	31128254	+	0.676858426	57	31128190	31128247	ENSDARG00000029751	31128269	31153927	31128269	553658	C1H10orf26 (2 of 2)	protein_coding
chr1	31882794	31882891	+	0.743565271	-40	31882852	31882812	ENSDARG00000027826	31882591	31926772	31882591	553642	hdhd1	protein_coding
chr1	41846667	41846900	+	0.652126167	-10	41846734	41846724	ENSDARG00000008706	41846743	41853059	41846743	393739	PAIP2B	protein_coding
chr1	45037814	45037897	+	0.663336328	-7	45037854	45037847	ENSDARG00000009472	45037847	45046967	45037847	445021	med19b	protein_coding
chr1	45294158	45294229	+	0.655328172	-47	45294215	45294168	ENSDARG00000059653	45294184	45325450	45294184	571851	kdm2aa	protein_coding
chr1	47828506	47829042	+	0.65829492	41	47828710	47828751	ENSDARG00000036687	47828751	47907556	47828751	449616	BCL9	protein_coding
chr1	49773273	49773373	+	0.656253218	92	49773275	49773367	ENSDARG00000036008	49773285	49802847	49773285	100307104	caly	protein_coding
chr1	49921701	49922036	+	0.64289512	26	49921707	49921733	ENSDARG00000018325	49921680	49938546	49921680	641491	taf5	protein_coding
chr1	51700745	51700972	+	0.660473684	-4	51700755	51700751	ENSDARG00000005544	51700753	51706762	51700753	563691	btbd3	protein_coding
chr1	52632433	52632591	+	0.742387165	51	52632536	52632587	ENSDARG00000018190	52632454	52647919	52632454	325704	asna1	protein_coding
chr1	53288066	53288201	+	0.6873538	-51	53288181	53288130	ENSDARG00000052348	53288130	53316645	53288130	282615	smarca5	protein_coding
chr1	55223077	55223139	+	0.845544665	15	55223091	55223106	ENSDARG00000077721	55223065	55235466	55223065	558776	C1H16orf88	protein_coding
chr1	55487457	55487585	+	0.650670339	51	55487480	55487531	NA	NA	NA	NA	NA	NA	NA
chr1	60027464	60027513	+	0.628422289	-3	60027483	60027480	NA	NA	NA	NA	NA	NA	NA
chr1	212970	213136	-	0.630817021	153	213134	212981	ENSDARG00000007804	187475	213136	213136	335830	gas6	protein_coding
chr1	8961346	8961444	-	0.707921126	-25	8961400	8961425	ENSDARG00000037652	8949379	8961410	8961410	393295	C1H7orf26	protein_coding
chr1	11221336	11221417	-	0.659707978	43	11221386	11221343	ENSDARG00000038114	11192286	11221304	11221304	393443	xpa	protein_coding
chr1	11690144	11690306	-	0.622985781	-44	11690188	11690232	NA	NA	NA	NA	NA	NA	NA
chr1	15249626	15249710	-	0.703157015	56	15249701	15249645	ENSDARG00000070412	15226108	15249679	15249679	559198	mtmr7b	protein_coding
chr1	20321299	20321357	-	0.657137371	-36	20321304	20321340	ENSDARG00000037406	20278502	20321325	20321325	556414	WDR19	protein_coding
chr1	23125188	23125412	-	0.854787339	63	23125338	23125275	ENSDARG00000031108	22694787	23124646	23124646	100317557	LRBA	protein_coding
chr1	29818476	29818595	-	0.637866908	33	29818553	29818520	ENSDARG00000060559	29792709	29818461	29818461	100003553	dis3	protein_coding
chr1	30158739	30159261	-	0.779720868	92	30159032	30158940	NA	NA	NA	NA	NA	NA	NA
chr1	31111796	31111838	-	0.754723071	-5	31111797	31111802	NA	NA	NA	NA	NA	NA	NA
chr1	38770785	38770877	-	0.633911926	-18	38770859	38770877	ENSDARG00000007477	38754027	38770862	38770862	678549	fbxo8	protein_coding
chr1	44407498	44407596	-	1	-38	44407519	44407557	NA	NA	NA	NA	NA	NA	NA
chr1	46391285	46391322	-	0.751726804	23	46391320	46391297	ENSDARG00000010773	46337385	46391325	46391325	560986	pnpla6	protein_coding
chr1	47619150	47619224	-	0.659408497	-28	47619162	47619190	ENSDARG00000001470	47613228	47619236	47619236	565708	si:ch211-287j19.6	protein_coding
chr1	51592050	51592107	-	0.76079018	12	51592065	51592053	NA	NA	NA	NA	NA	NA	NA
chr1	52214391	52214430	-	0.820700299	17	52214413	52214396	ENSDARG00000018891	52206821	52214585	52214585	393195	rnaseh2a	protein_coding
chr1	53286318	53286478	-	0.656698196	-4	53286393	53286397	ENSDARG00000017423	53259935	53286415	53286415	100009659	patl1	protein_coding
chr1	55511550	55511825	-	0.69169158	57	55511642	55511585	ENSDARG00000026489	55499599	55511646	55511646	573145	khsrp	protein_coding
chr1	60339870	60339917	-	0.766401149	-25	60339874	60339899	NA	NA	NA	NA	NA	NA	NA
chr2	131552	131630	+	0.765486668	-44	131630	131586	NA	NA	NA	NA	NA	NA	NA
chr2	256467	256606	+	0.650057285	-8	256480	256472	ENSDARG00000077839	256480	277540	256480	570735	DHX30	protein_coding
chr2	1970628	1970710	+	0.649522563	0	1970689	1970689	ENSDARG00000022303	1970655	1975857	1970655	373084	hig1	protein_coding
chr2	4525716	4525907	+	0.642055595	0	4525797	4525797	NA	NA	NA	NA	NA	NA	NA
chr2	6704102	6704233	+	0.696916508	35	6704125	6704160	ENSDARG00000029671	6704193	6762154	6704193	558034	XPR1 (2 of 2)	protein_coding
chr2	9544277	9544396	+	0.671497465	-15	9544323	9544308	ENSDARG00000011233	9544319	9572728	9544319	550327	pcyt1aa	protein_coding
chr2	9762606	9762760	+	0.694138243	18	9762611	9762629	ENSDARG00000030108	9762584	9772558	9762584	114464	sec22ba	protein_coding
chr2	11737804	11737944	+	0.737829924	-17	11737854	11737837	ENSDARG00000020201	11737859	11789602	11737859	393319	cdc73	protein_coding
chr2	14868905	14869267	+	0.693093813	53	14868999	14869052	ENSDARG00000029856	14868993	14895878	14868993	337142	cnn3b	protein_coding
chr2	16517078	16517145	+	0.68334621	-10	16517129	16517119	ENSDARG00000009740	16517108	16528856	16517108	560323	ppp1r7	protein_coding
chr2	23014577	23014667	+	0.686460595	-40	23014648	23014608	ENSDARG00000068920	23014596	23039201	23014596	100007441	znf644	protein_coding
chr2	23182044	23182167	+	0.629940788	10	23182127	23182137	ENSDARG00000074940	23182115	23192145	23182115	NA	15-Sep	protein_coding
chr2	27639174	27639256	+	0.62522351	61	27639192	27639253	ENSDARG00000055900	27639236	27692112	27639236	100149522	zswim5	protein_coding
chr2	30501589	30501631	+	0.719412707	34	30501592	30501626	ENSDARG00000006370	30501605	30561705	30501605	286779	atp6v1h	protein_coding
chr2	32907411	32907700	+	0.668366095	-41	32907498	32907457	NA	NA	NA	NA	NA	NA	NA
chr2	35527426	35527568	+	0.646801328	16	35527470	35527486	NA	NA	NA	NA	NA	NA	NA
chr2	35575017	35575120	+	0.676035922	14	35575047	35575061	ENSDARG00000079725	35575075	35595362	35575075	568043	dhx9	protein_coding
chr2	43644022	43644153	+	0.68820297	51	43644065	43644116	NA	NA	NA	NA	NA	NA	NA
chr2	43955688	43955839	+	0.705321252	27	43955790	43955817	ENSDARG00000003244	43955869	43980375	43955869	563072	gbp3	protein_coding
chr2	44632686	44632717	+	0.784252707	12	44632689	44632701	ENSDARG00000021739	44632701	44665956	44632701	768198	klhl24	protein_coding
chr2	44676647	44676842	+	0.657397526	-110	44676842	44676732	ENSDARG00000078767	44677192	44756745	44677192	100320774	YEATS2	protein_coding
chr2	44842705	44842757	+	0.731665424	-22	44842757	44842735	ENSDARG00000068021	44842735	44984354	44842735	100002136	si:ch211-224b1.4	protein_coding
chr2	50431166	50431218	+	0.811290618	-18	50431187	50431169	ENSDARG00000076360	50430960	50437026	50430960	NA	C2H7orf44	protein_coding
chr2	50632197	50632241	+	0.69035111	-9	50632239	50632230	ENSDARG00000067950	50632528	50670220	50632528	564789	ZCCHC2	protein_coding
chr2	51664328	51664425	+	0.6526294	-59	51664423	51664364	NA	NA	NA	NA	NA	NA	NA
chr2	54206142	54206189	+	0.738060986	10	54206174	54206184	ENSDARG00000069056	54206171	54261877	54206171	393663	RANBP3 (1 of 2)	protein_coding
chr2	58667578	58667699	+	0.624917178	-23	58667692	58667669	ENSDARG00000025593	58667669	58690078	58667669	406577	PLEKHJ1	protein_coding
chr2	59530911	59530957	+	0.66836451	-23	59530956	59530933	ENSDARG00000090544	59530550	59532984	59530550	NA	CABZ01085657.1	protein_coding
chr2	385129	385176	-	0.669444354	-26	385150	385176	ENSDARG00000076995	377851	385099	385099	NA	SHARPIN (1 of 2)	protein_coding
chr2	2384375	2384610	-	0.615860314	-22	2384515	2384537	ENSDARG00000002970	2368246	2384584	2384584	326668	ss18	protein_coding
chr2	3476059	3476168	-	0.723189536	27	3476115	3476088	ENSDARG00000009484	3463796	3476115	3476115	114428	arf1	protein_coding
chr2	5694169	5694280	-	0.65391316	67	5694280	5694213	ENSDARG00000063341	5684429	5694211	5694211	555997	C2H1orf123	protein_coding
chr2	6951580	6951628	-	0.698447005	-36	6951584	6951620	ENSDARG00000069342	6943374	6951681	6951681	768186	KLF14	protein_coding
chr2	9778744	9778844	-	0.761107051	-14	9778800	9778814	ENSDARG00000069287	9771984	9778860	9778860	393237	imp3	protein_coding
chr2	11295530	11295656	-	0.684783104	78	11295652	11295574	ENSDARG00000016233	11274377	11295652	11295652	405814	sdr16c5a	protein_coding
chr2	14945939	14946032	-	0.681957048	17	14946014	14945997	ENSDARG00000002947	14930111	14946095	14946095	100170781	abcd3b	protein_coding
chr2	17214047	17214297	-	0.660690499	169	17214275	17214106	ENSDARG00000015252	17085994	17214190	17214190	407659	st3gal3l	protein_coding
chr2	22093999	22094360	-	0.710299961	-54	22094281	22094335	ENSDARG00000039022	22075319	22094365	22094365	406600	stk25b	protein_coding
chr2	23128427	23128500	-	0.743808968	37	23128465	23128428	NA	NA	NA	NA	NA	NA	NA
chr2	26869007	26869162	-	0.715299747	-34	26869033	26869067	ENSDARG00000078267	26838033	26869024	26869024	567642	RNF31 (3 of 3)	protein_coding
chr2	27989034	27989077	-	0.632251709	10	27989075	27989065	ENSDARG00000015564	27967560	27989080	27989080	378446	dhcr7	protein_coding
chr2	36854927	36855123	-	0.641575209	-49	36854975	36855024	ENSDARG00000038695	36844171	36855031	36855031	30736	elavl1	protein_coding
chr2	37258717	37258859	-	0.636764488	8	37258760	37258752	ENSDARG00000011157	37225077	37258737	37258737	407987	arhgef18a	protein_coding
chr2	37575530	37575567	-	0.851428222	-22	37575545	37575567	ENSDARG00000079134	37552459	37575883	37575883	386901	METTL17	protein_coding
chr2	41874533	41874750	-	0.715542325	56	41874698	41874642	ENSDARG00000089305	41845658	41874524	41874524	NA	CABZ01046038.1	protein_coding
chr2	42476265	42476430	-	0.643667552	10	42476361	42476351	ENSDARG00000018961	42462491	42476393	42476393	334050	gtpbp4	protein_coding
chr2	50842158	50842344	-	0.616288857	0	50842261	50842261	ENSDARG00000019239	50799421	50842315	50842315	323883	cul1a	protein_coding
chr2	51582844	51583306	-	0.658380312	108	51583257	51583149	NA	NA	NA	NA	NA	NA	NA
chr2	53179291	53179418	-	0.717490789	20	53179411	53179391	ENSDARG00000053326	53090568	53178564	53178564	493613	GNA11 (1 of 2)	protein_coding
chr2	57029460	57029587	-	0.665929921	35	57029586	57029551	ENSDARG00000060750	57008133	57029578	57029578	NA	BTBD2 (1 of 2)	protein_coding
chr3	2234170	2234234	+	0.652047876	20	2234181	2234201	NA	NA	NA	NA	NA	NA	NA
chr3	5689031	5689160	+	0.697533126	17	5689050	5689067	ENSDARG00000038399	5689082	5699667	5689082	436749	polr3h	protein_coding
chr3	15432998	15433100	+	0.74880821	43	15433017	15433060	ENSDARG00000070866	15433025	15440739	15433025	407695	tmem11	protein_coding
chr3	18629344	18629474	+	0.722089495	-18	18629437	18629419	ENSDARG00000038239	18629422	18661130	18629422	445499	tnpo2	protein_coding
chr3	19900102	19900230	+	0.662150957	38	19900105	19900143	ENSDARG00000056467	19900116	19908821	19900116	368511	tmub2	protein_coding
chr3	23145890	23145950	+	0.660759501	21	23145905	23145926	NA	NA	NA	NA	NA	NA	NA
chr3	25188869	25188964	+	0.63242032	25	25188892	25188917	ENSDARG00000021973	25188872	25201993	25188872	564225	st13	protein_coding
chr3	26675817	26675907	+	0.712187075	-37	26675884	26675847	ENSDARG00000061257	26675838	26686600	26675838	751673	C3H17orf75	protein_coding
chr3	28982580	28982624	+	0.721814567	29	28982595	28982624	ENSDARG00000038024	28982569	29001783	28982569	797829	flr	protein_coding
chr3	31244503	31244683	+	0.716545641	-38	31244612	31244574	NA	NA	NA	NA	NA	NA	NA
chr3	31737529	31737746	+	0.746486729	11	31737582	31737593	ENSDARG00000054446	31737513	31742339	31737513	393631	ccdc43	protein_coding
chr3	32808075	32808156	+	0.835495108	29	32808118	32808147	ENSDARG00000027182	32808122	32817102	32808122	100003846	RNF25	protein_coding
chr3	34319271	34319392	+	0.661036449	-32	34319367	34319335	ENSDARG00000015538	34319325	34330321	34319325	406478	znf207a	protein_coding
chr3	35525218	35525291	+	0.666751596	17	35525221	35525238	NA	NA	NA	NA	NA	NA	NA
chr3	37078241	37078497	+	0.690274293	58	37078304	37078362	ENSDARG00000059804	37078708	37102651	37078708	566014	fam134c	protein_coding
chr3	49633588	49633723	+	0.670105638	27	49633682	49633709	ENSDARG00000052555	49633628	49649825	49633628	406258	metrnl	protein_coding
chr3	53322559	53322621	+	0.694044079	37	53322564	53322601	ENSDARG00000021233	53322578	53338632	53322578	445494	pgls	protein_coding
chr3	62858936	62859062	+	0.716494847	29	62859027	62859056	ENSDARG00000067593	62859037	62865855	62859037	NA	SCO1	protein_coding
chr3	62897412	62897423	+	0.610594094	10	62897413	62897423	NA	NA	NA	NA	NA	NA	NA
chr3	2081472	2081719	-	0.765602766	33	2081679	2081646	ENSDARG00000079348	2070823	2080523	2080523	NA	GRIN2B (2 of 2)	protein_coding
chr3	3905225	3905396	-	0.684802649	36	3905369	3905333	ENSDARG00000079723	3873758	3905336	3905336	NA	TNRC6B (3 of 3)	protein_coding
chr3	6161591	6161761	-	0.640633485	-31	6161622	6161653	ENSDARG00000015111	6136694	6161664	6161664	406249	ddx39ab	protein_coding
chr3	7429597	7429651	-	0.647038509	0	7429624	7429624	NA	NA	NA	NA	NA	NA	NA
